Name,X,Y,Lon,Lat,Color,Label,Desc,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12,fai,ndvi
pin_87,2141.5,5644.5,106.112286,11.24749334,"java.awt.Color[r=0,g=0,b=255]",WH,,0.1558,0.1309,0.1212,0.0961,0.1022,0.118,0.1501,0.1434,0.1304,0.0141,0.0343,0.014,0.058875233,0.19749476
pin_88,2123.5,5655.5,106.1106335,11.24650486,"java.awt.Color[r=0,g=0,b=255]",WH,,0.1535,0.1216,0.117,0.0849,0.1032,0.1696,0.2112,0.206,0.1915,0.021,0.0579,0.0233,0.12615715,0.41629428
pin_89,2106.5,5659.5,106.1090749,11.24614898,"java.awt.Color[r=0,g=0,b=255]",WH,,0.152,0.1198,0.1127,0.0793,0.1044,0.1967,0.2212,0.2446,0.2297,0.0262,0.0648,0.0276,0.16801587,0.5103427
pin_90,2108.5,5659.5,106.1092581,11.2461483,"java.awt.Color[r=0,g=0,b=255]",WH,,0.152,0.1233,0.1175,0.0837,0.1033,0.168,0.1954,0.2059,0.2005,0.0262,0.0594,0.0248,0.12675142,0.4219613
pin_91,2100.5,5661.5,106.1085246,11.24597019,"java.awt.Color[r=0,g=0,b=255]",WH,,0.1541,0.1233,0.1156,0.0861,0.1033,0.1471,0.1954,0.2038,0.1857,0.0204,0.0532,0.0205,0.123862214,0.40600207
pin_92,2078.5,5663.5,106.1065088,11.24579685,"java.awt.Color[r=0,g=0,b=255]",WH,,0.1539,0.1251,0.1183,0.0912,0.1035,0.1527,0.1779,0.185,0.1825,0.0205,0.0487,0.0198,0.10176032,0.33960897
pin_93,2074.5,5663.5,106.1061424,11.24579821,"java.awt.Color[r=0,g=0,b=255]",WH,,0.1527,0.1207,0.1142,0.0806,0.1031,0.1624,0.211,0.2353,0.191,0.0212,0.058,0.0224,0.15893301,0.48971194
pin_94,2091.5,5662.5,106.1076999,11.24588284,"java.awt.Color[r=0,g=0,b=255]",WH,,0.1551,0.1239,0.119,0.0901,0.1027,0.1562,0.1888,0.1891,0.1674,0.0169,0.0469,0.0216,0.10709143,0.35458454
pin_95,2062.5,5672.5,106.1050401,11.2449885,"java.awt.Color[r=0,g=0,b=255]",WH,,0.1515,0.1209,0.1146,0.0819,0.105,0.1733,0.201,0.2221,0.2042,0.0255,0.0601,0.0246,0.14428318,0.4611842
pin_96,2043.5,5677.5,106.103298,11.24454285,"java.awt.Color[r=0,g=0,b=255]",WH,,0.1518,0.1167,0.1137,0.0744,0.1068,0.2207,0.2752,0.2748,0.28,0.0235,0.0883,0.0334,0.19779651,0.5738832
pin_97,2040.5,5679.5,106.1030226,11.24436302,"java.awt.Color[r=0,g=0,b=255]",WH,,0.1518,0.1185,0.1125,0.0749,0.1064,0.2308,0.2901,0.272,0.2934,0.0235,0.091,0.0347,0.19408447,0.56817526
pin_98,2050.5,5672.5,106.1039409,11.24499258,"java.awt.Color[r=0,g=0,b=255]",WH,,0.1508,0.1231,0.1143,0.081,0.1038,0.156,0.1921,0.2171,0.1764,0.0256,0.0536,0.021,0.14123206,0.4565582
pin_99,2055.5,5668.5,106.1044003,11.24535256,"java.awt.Color[r=0,g=0,b=255]",WH,,0.1502,0.1205,0.1148,0.0817,0.1047,0.1997,0.2332,0.2384,0.2347,0.0303,0.0662,0.0307,0.15960318,0.48953453
pin_100,2061.5,5667.5,106.1049502,11.24544095,"java.awt.Color[r=0,g=0,b=255]",WH,,0.153,0.1236,0.1175,0.0852,0.1038,0.1786,0.2145,0.2132,0.2146,0.0219,0.0617,0.0245,0.13240159,0.42895445
pin_101,2027.5,5738.5,106.1018115,11.23903255,"java.awt.Color[r=0,g=0,b=255]",WH,,0.1455,0.1148,0.1077,0.0669,0.1074,0.2871,0.3591,0.3519,0.3755,0.0443,0.1228,0.0457,0.27452984,0.68051577
pin_102,2029.5,5726.5,106.1019988,11.24011693,"java.awt.Color[r=0,g=0,b=255]",W,,0.155,0.1322,0.1243,0.105,0.1009,0.1115,0.1323,0.1099,0.1149,0.0148,0.026,0.0116,0.019696826,0.022801308
pin_103,2033.5,5743.5,106.1023594,11.2385784,"java.awt.Color[r=0,g=0,b=255]",W,,0.154,0.132,0.1236,0.1044,0.102,0.1148,0.1341,0.1092,0.115,0.0194,0.0269,0.0107,0.019315872,0.022471907
pin_104,2029.5,5712.5,106.1020036,11.24138283,"java.awt.Color[r=0,g=0,b=255]",W,,0.1555,0.1335,0.1234,0.1062,0.102,0.1107,0.1338,0.1072,0.1129,0.0149,0.0256,0.0107,0.016096503,0.00468601
pin_105,2029.5,5704.5,106.1020064,11.24210621,"java.awt.Color[r=0,g=0,b=255]",W,,0.1557,0.1314,0.1232,0.1044,0.1016,0.1122,0.1349,0.1078,0.1151,0.0145,0.0265,0.0112,0.017990792,0.01602261
pin_106,2045.5,5682.5,106.1034795,11.24409006,"java.awt.Color[r=0,g=0,b=255]",W,,0.1522,0.1298,0.1233,0.1025,0.1008,0.1158,0.1361,0.1135,0.1227,0.0209,0.029,0.0129,0.024766667,0.050925925
pin_107,2100.5,5652.5,106.1085277,11.24678398,"java.awt.Color[r=0,g=0,b=255]",W,,0.1555,0.133,0.1251,0.1077,0.1015,0.1132,0.1333,0.1101,0.1137,0.0158,0.0271,0.0114,0.017496511,0.0110193
pin_108,2084.5,5658.5,106.1070601,11.24624691,"java.awt.Color[r=0,g=0,b=255]",W,,0.1552,0.1328,0.1246,0.1062,0.0998,0.1148,0.1371,0.1102,0.1135,0.0174,0.0279,0.0128,0.018665716,0.01848429
pin_109,2111.5,5648.5,106.1095367,11.24714191,"java.awt.Color[r=0,g=0,b=255]",W,,0.1548,0.1329,0.1252,0.106,0.1016,0.1103,0.1307,0.1052,0.1132,0.019,0.0275,0.0112,0.013903176,-0.003787872
pin_110,2081.5,5668.5,106.1067818,11.24534372,"java.awt.Color[r=0,g=0,b=255]",W,,0.154,0.13,0.1222,0.1044,0.101,0.1206,0.1396,0.1123,0.1307,0.0183,0.0355,0.0156,0.02080508,0.03645593
pin_111,2133.5,5639.5,106.111555,11.24794819,"java.awt.Color[r=0,g=0,b=255]",W,,0.1537,0.1336,0.1253,0.1059,0.1006,0.1057,0.1273,0.1,0.1063,0.0233,0.0264,0.0129,0.008990481,-0.028654665
pin_112,2123.5,5644.5,106.1106373,11.2474995,"java.awt.Color[r=0,g=0,b=255]",W,,0.1539,0.1335,0.1252,0.106,0.1004,0.1054,0.1199,0.0993,0.1049,0.0205,0.0264,0.0117,0.008209204,-0.03263518
pin_113,2147.5,5633.5,106.1128394,11.24848592,"java.awt.Color[r=0,g=0,b=255]",W,,0.1528,0.133,0.1241,0.105,0.1014,0.1096,0.1318,0.1013,0.1086,0.025,0.03,0.0131,0.010347623,-0.017935025
pin_114,2142.5,5636.5,106.1123804,11.24821637,"java.awt.Color[r=0,g=0,b=255]",W,,0.1563,0.1346,0.1274,0.1078,0.0997,0.1014,0.1164,0.0968,0.0992,0.0144,0.0243,0.0113,0.004639682,-0.05376344
pin_115,2178.5,5634.5,106.1156786,11.24838486,"java.awt.Color[r=0,g=0,b=255]",W,,0.1575,0.1372,0.1293,0.1086,0.1035,0.1013,0.1139,0.0944,0.1003,0.0181,0.0277,0.0153,9.53E-04,-0.069950715
pin_116,2171.5,5630.5,106.1150388,11.24874895,"java.awt.Color[r=0,g=0,b=255]",W,,0.157,0.1354,0.1274,0.108,0.1016,0.1021,0.115,0.0951,0.0955,0.0152,0.0263,0.0129,0.002402538,-0.06351552
pin_117,2175.5,5632.5,106.1154045,11.24856674,"java.awt.Color[r=0,g=0,b=255]",W,,0.1588,0.137,0.1286,0.1092,0.1026,0.1002,0.1149,0.0924,0.0986,0.013,0.0259,0.0144,-0.001197779,-0.083333336
pin_118,2209.5,5661.5,106.1185088,11.24593283,"java.awt.Color[r=0,g=0,b=255]",W,,0.1599,0.1377,0.1288,0.1107,0.103,0.1039,0.116,0.0951,0.0989,0.0152,0.0292,0.0166,-3.35E-04,-0.07580173
pin_119,2199.5,5649.5,106.117597,11.24702133,"java.awt.Color[r=0,g=0,b=255]",W,,0.1646,0.1389,0.1298,0.1103,0.1031,0.102,0.116,0.0942,0.0985,0.0148,0.0306,0.0165,-0.001172061,-0.078728594
pin_120,2219.5,5669.5,106.119422,11.24520602,"java.awt.Color[r=0,g=0,b=255]",W,,0.1598,0.1377,0.1291,0.1115,0.1036,0.1024,0.1153,0.0932,0.0981,0.0143,0.0283,0.0158,-0.002716512,-0.089399144
pin_121,2226.5,5677.5,106.1200603,11.24448023,"java.awt.Color[r=0,g=0,b=255]",W,,0.1616,0.1378,0.1295,0.111,0.1026,0.1032,0.1147,0.0963,0.097,0.0152,0.028,0.0165,8.46E-04,-0.070911735
pin_122,2237.5,5691.5,106.121063,11.24321054,"java.awt.Color[r=0,g=0,b=255]",W,,0.1594,0.1363,0.1269,0.1102,0.1014,0.103,0.1173,0.0964,0.1,0.0132,0.0263,0.0134,0.001914601,-0.06679575
pin_123,2243.5,5700.5,106.1216095,11.24239468,"java.awt.Color[r=0,g=0,b=255]",W,,0.1581,0.1355,0.127,0.1084,0.1018,0.1046,0.1174,0.0956,0.1004,0.0157,0.0273,0.0126,0.002390159,-0.0627451
pin_124,2255.5,5719.5,106.122702,11.24067254,"java.awt.Color[r=0,g=0,b=255]",W,,0.1569,0.1335,0.1236,0.1053,0.1004,0.1041,0.1191,0.0976,0.0991,0.015,0.0276,0.0142,0.00685333,-0.03794975
pin_125,2274.5,5735.5,106.1244367,11.23921923,"java.awt.Color[r=0,g=0,b=255]",W,,0.1539,0.1317,0.1255,0.1051,0.1001,0.1037,0.1193,0.0956,0.1002,0.0213,0.0268,0.013,0.005165717,-0.047334313
pin_126,1983.5,5799.5,106.0977604,11.23353169,"java.awt.Color[r=0,g=0,b=255]",W,,0.1558,0.1303,0.1251,0.1073,0.103,0.1112,0.1328,0.1067,0.1142,0.0164,0.0279,0.0137,0.014271751,-0.002803716
pin_127,1975.5,5802.5,106.0970267,11.23326313,"java.awt.Color[r=0,g=0,b=255]",W,,0.156,0.133,0.1265,0.1075,0.1034,0.1114,0.1303,0.1062,0.1141,0.0164,0.0277,0.0133,0.013646668,-0.006083292
pin_128,1993.5,5794.5,106.0986781,11.23398043,"java.awt.Color[r=0,g=0,b=255]",W,,0.1551,0.1328,0.126,0.1064,0.1019,0.1118,0.1332,0.1083,0.1131,0.0167,0.0277,0.0124,0.016640637,0.008849569
pin_129,1962.5,5813.5,106.0958322,11.23227287,"java.awt.Color[r=0,g=0,b=255]",W,,0.1561,0.1342,0.1267,0.1086,0.1037,0.1103,0.1281,0.1043,0.11,0.0176,0.0299,0.013,0.010440636,-0.020197269
pin_130,1970.5,5807.5,106.096567,11.2328127,"java.awt.Color[r=0,g=0,b=255]",W,,0.1564,0.1333,0.1265,0.1076,0.1023,0.1095,0.1277,0.1043,0.1082,0.0163,0.0268,0.0131,0.011833966,-0.015573401
pin_131,2031.5,5761.5,106.10217,11.23695149,"java.awt.Color[r=0,g=0,b=255]",W,,0.1549,0.1321,0.1244,0.1052,0.1016,0.1129,0.1325,0.1062,0.1121,0.0163,0.0247,0.0117,0.01607778,0.004730378
